えい,英
えー,A
えき,易
えき,液
えき,疫
えき,益
えき,駅
えき,役
えご,エゴ
えさ,餌
えし,絵師
えす,S
えず,絵図
えそ,えそ
えだ,枝
えつ,悦
えつ,謁
えつ,越
えて,得手
えと,えと
えど,江戸
えど,穢土
えな,えな
えぬ,N
えび,えび
えふ,F
えま,絵馬
えみ,笑み
えむ,M
えむ,エム
えら,えら
えり,襟
える,L
えん,円
えん,園
えん,宴
えん,炎
えん,縁
えん,艶
えん,塩
おい,おい
おい,笈
おい,老い
おう,凹
おう,応
おう,欧
おう,王
おう,翁
おう,媼
おー,O
おか,丘
おか,陸
おき,おき
おき,沖
おき,置き
おぎ,おぎ
おく,奥
おく,億
おく,屋
おけ,おけ
おさ,おさ
おし,押し
おじ,叔父
おじ,伯父
おす,雄
おち,落ち
おつ,乙
おと,音
おに,鬼
おね,尾根
おの,おの
おは,尾羽
おば,叔母
おば,伯母
おび,帯
おふ,オフ
おぺ,オペ
おも,面
おや,親
おゆ,お湯
おり,おり
おり,織り
おり,折
おり,折り
おり,澱
おり,滓
おれ,おれ
おん,恩
おん,音
かー,カー
かい,かい
かい,下位
かい,下意
かい,会
かい,解
かい,回
かい,快
かい,怪
かい,戒
かい,海
かい,界
かい,階
かい,貝
かい,飼い
かい,買い
がい,我意
がい,外
がい,害
がい,概
がい,蓋
がい,街
かう,寡雨
かえ,換え
かえ,替え
かえ,代え
かお,顔
がか,画家
がか,画架
がか,雅歌
かき,かき
かき,下記
かき,夏期
かき,夏季
かき,火器
かき,火気
かき,花器
かき,花期
かき,花卉
かき,垣
かき,柿
かき,書き
かぎ,かぎ
かぎ,鍵
がき,餓鬼
かく,佳句
かく,画
かく,格
かく,核
かく,角
かく,閣
かぐ,家具
がく,がく
がく,学
がく,楽
がく,額
かけ,かけ
かけ,掛け
かけ,欠け
かけ,賭け
かげ,陰
かげ,影
かげ,鹿毛
がけ,がけ
がけ,掛け
かこ,過去
かこ,水夫
かご,かご
かご,加護
かご,歌語
かご,華語
かご,過誤
かご,訛語
がご,雅語
かさ,かさ
かさ,傘
がさ,がさ
かし,かし
かし,カ氏
かし,下士
かし,下肢
かし,下賜
かし,仮死
かし,可視
かし,歌詞
かし,歌誌
かし,河岸
かし,華氏
かし,菓子
かし,貸し
かし,瑕疵
かじ,かじ
かじ,加持
かじ,家事
かじ,火事
がし,餓死
かす,滓
かず,下図
かず,数
がす,ガス
かせ,枷
かぜ,風
かぜ,風邪
かそ,過疎
がそ,画素
かた,潟
かた,型
かた,形
かた,肩
かた,片
かた,方
かた,夥多
がた,がた
がた,方
かち,かち
かち,価値
かち,勝ち
がち,雅致
かつ,カツ
かつ,活
かつ,渇
がつ,月
かて,糧
かと,過渡
かど,過度
かど,角
かど,門
かど,廉
かな,仮名
かに,かに
かね,かね
かね,金
かね,鉦
かね,鐘
かば,かば
かひ,可否
かひ,果皮
かひ,歌碑
かひ,花被
かび,かび
かび,華美
がび,蛾眉
かふ,下付
かふ,家父
かふ,家譜
かふ,寡婦
かふ,火夫
かぶ,かぶ
かぶ,下部
かぶ,歌舞
かぶ,株
がふ,画布
かべ,壁
かま,かま
かま,窯
がま,がま
かみ,かみ
かみ,佳味
かみ,加味
かみ,紙
かみ,上
かみ,神
かみ,髪
がみ,雅味
がむ,ガム
かめ,かめ
かめ,瓶
かも,かも
かや,かや
かや,蚊帳
かゆ,かゆ
から,殻
から,空
から,唐
がら,がら
がら,柄
かり,カリ
かり,仮
かり,雁
かり,借り
かり,狩り
がり,がり
がり,我利
がる,ガル
かれ,彼
がれ,がれ
かわ,佳話
かわ,河
かわ,革
かわ,川
かわ,皮
がわ,側
かん,寒
かん,刊
かん,勘
かん,巻
かん,完
かん,官
かん,感
かん,棺
かん,款
かん,歓
かん,漢
かん,管
かん,簡
かん,缶
かん,艦
かん,観
かん,貫
かん,間
かん,韓
かん,館
かん,奸
かん,燗
かん,癇
がん,ガン
がん,眼
がん,岩
がん,雁
がん,願
がん,元
ぎあ,ギア
きー,キー
きい,奇異
きい,貴意
きう,気宇
きう,祈雨
きえ,帰依
きか,奇禍
きか,奇貨
きか,幾何
きか,帰化
きか,気化
きか,貴下
きか,貴家
きか,麾下
きが,起臥
きが,飢餓
ぎが,ギガ
ぎが,戯画
きき,危機
きき,器機
きき,忌諱
きき,機器
きき,記紀
きき,鬼気
きき,聞き
きぎ,機宜
きぎ,木木
ぎき,義気
ぎぎ,疑義
きく,規矩
きく,菊
きぐ,危惧
きぐ,器具
きぐ,機具
きご,季語
ぎこ,擬古
きし,岸
きし,旗幟
きし,棋士
きし,騎士
きじ,きじ
きじ,記事
きじ,生地
きじ,木地
ぎし,技師
ぎし,義士
ぎし,義姉
ぎし,義子
ぎし,義肢
ぎし,義歯
ぎじ,擬餌
ぎじ,疑似
ぎじ,議事
きす,きす
きす,キス
きず,傷
きず,生酢
きそ,基礎
きそ,起訴
きぞ,きぞ
きた,北
ぎだ,犠打
きち,危地
きち,基地
きち,既知
きち,機知
きち,貴地
きち,吉
ぎて,技手
きと,企図
きと,帰途
きど,喜怒
きど,輝度
きど,木戸
きな,キナ
きぬ,絹
きね,きね
きば,きば
きば,騎馬
きば,木場
きひ,基肥
きひ,忌避
きび,きび
きび,機尾
きび,機微
ぎひ,犠飛
きふ,寄付
きふ,寄附
きふ,棋譜
きぶ,基部
ぎふ,義夫
ぎふ,義婦
ぎふ,義父
きぼ,規模
ぎぼ,義母
きみ,黄み
きみ,黄身
きみ,気味
きみ,君
ぎむ,義務
きめ,決め
きめ,木目
きも,肝
きよ,寄与
きょ,居
きょ,挙
きょ,虚
ぎょ,魚
きら,綺羅
きり,きり
きり,キリ
きり,桐
きり,錐
きり,切り
きり,霧
ぎり,義理
きれ,切れ
きろ,キロ
きろ,岐路
きろ,帰路
