4,味,み
5,観,み
6,満,み
8,診,み
10,実,み
44,未,み
104,身,み
761,見,み
6,蒸,む
19,向,む
137,無,む
4,芽,め
41,眼,め
482,目,め
1,模,も
4,盛,も
4,揉,も
391,持,も
1,遣,や
1,妬,や
1,八,や
1,野,や
1,いりゃ,ゃ
2,止,や
2,夜,や
2,矢,や
3,病,や
9,家,や
24,焼,や
84,屋,や
1,結,ゆ
1,言,ゆ
2,由,ゆ
5,油,ゆ
6,湯,ゆ
1,ょ,よ
1,快,よ
1,好,よ
1,招,よ
1,夜,よ
1,与,よ
2,止,よ
3,酔,よ
4,余,よ
4,良さ,よ
5,詠,よ
5,よさ,よ
9,寄,よ
13,世,よ
92,読,よ
159,呼,よ
221,良,よ
419,四,よ
1,らる,ら
17,等,ら
1,裡,り
2,利,り
4,裏,り
4,里,り
7,理,り
23,李,り
4,盧,ろ
7,露,ろ
10,炉,ろ
28,路,ろ
2,湧,わ
5,沸,わ
6,話,わ
8,輪,わ
10,和,わ
12,割,わ
29,羽,わ
1,あぁ,ああ
1,嗚呼,ああ
1,藍,あい
4,アイ,あい
6,合い,あい
55,相,あい
80,愛,あい
1,合え,あえ
2,喘,あえ
2,和え,あえ
8,会え,あえ
2,煽,あお
2,蒼,あお
4,仰,あお
23,青,あお
2,垢,あか
3,アカ,あか
16,明か,あか
31,赤,あか
3,挙が,あが
56,上が,あが
1,安芸,あき
1,空き,あき
3,飽き,あき
7,亜紀,あき
44,秋,あき
1,飽く,あく
27,悪,あく
2,空け,あけ
7,明け,あけ
15,開け,あけ
6,揚げ,あげ
66,上げ,あげ
87,挙げ,あげ
1,亜湖,あこ
3,顎,あご
1,漁,あさ
3,麻,あさ
5,浅,あさ
47,朝,あさ
4,アザ,あざ
2,悪し,あし
4,脚,あし
72,足,あし
1,アジ,あじ
58,味,あじ
33,明日,あす
10,焦,あせ
16,汗,あせ
3,阿蘇,あそ
48,遊,あそ
83,当た,あた
1,篤,あつ
1,アッ,あっ
2,圧,あつ
14,厚,あつ
17,暑,あつ
18,熱,あつ
1,アテ,あて
2,宛て,あて
7,充て,あて
9,宛,あて
20,当て,あて
23,跡,あと
175,後,あと
1,アド,あど
9,アナ,あな
17,穴,あな
32,兄,あに
5,姉,あね
1,アノ,あの
3,暴,あば
22,浴び,あび
2,アブ,あぶ
1,アベ,あべ
1,安部,あべ
3,阿倍,あべ
9,阿部,あべ
10,安倍,あべ
5,アホ,あほ
2,海部,あま
8,アマ,あま
12,余,あま
32,甘,あま
2,網,あみ
4,亜美,あみ
5,阿未,あみ
1,飴,あめ
3,アメ,あめ
39,雨,あめ
